journal,impact_factor,impact_factor_year,impact_factor_source,issn,eissn,note,paper_count,lookup_journal,normalized_journal,normalized_lookup_journal,match_status,source_url,verification_status
Nature Communications Nat Commun,18.1,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",7,Nature Communications,nature communications nat commun,nature communications,alias_or_suffix_variant,https://www.ablesci.com/journal/detail?id=pB7xG5,filled_verified
Nature Communications,18.1,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",5,Nature Communications,nature communications,nature communications,exact_string,https://www.ablesci.com/journal/detail?id=pB7xG5,filled_verified
Angewandte Chemie International Edition,17.6,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",4,Angewandte Chemie International Edition,angewandte chemie international edition,angewandte chemie international edition,exact_string,https://www.ablesci.com/journal/detail?id=grRvAr,filled_verified
arXiv,,,,,,Preprint server; no Journal Impact Factor.,2,arXiv,arxiv,arxiv,exact_string,https://arxiv.org/,not_applicable
Energy & Environmental Science,30.5,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",2,Energy & Environmental Science,energy & environmental science,energy & environmental science,exact_string,https://www.ablesci.com/journal/detail?id=DbG97r,filled_verified
Journal of Materials Chemistry A,9.2,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",2,Journal of Materials Chemistry A,journal of materials chemistry a,journal of materials chemistry a,exact_string,https://www.ablesci.com/journal/detail?id=pqOAPD,filled_verified
Journal of Materials Chemistry A J. Mater. Chem. A,9.2,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",2,Journal of Materials Chemistry A,journal of materials chemistry a j mater chem a,journal of materials chemistry a,alias_or_suffix_variant,https://www.ablesci.com/journal/detail?id=pqOAPD,filled_verified
Scientific Reports,4.9,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",2,Scientific Reports,scientific reports,scientific reports,exact_string,https://www.ablesci.com/journal/detail?id=rAXQeD,filled_verified
ACS Applied Materials &amp; Interfaces,7.8,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",1,ACS Applied Materials & Interfaces,acs applied materials &amp interfaces,acs applied materials & interfaces,html_entity_variant,https://www.ablesci.com/journal/detail?id=95EBBD,filled_verified
ACS Catalysis,13.6,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",1,ACS Catalysis,acs catalysis,acs catalysis,exact_string,https://www.ablesci.com/journal/detail?id=DMLO65,filled_verified
Advanced Energy Materials,25.5,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",1,Advanced Energy Materials,advanced energy materials,advanced energy materials,exact_string,https://www.ablesci.com/journal/detail?id=r8M8xp,filled_verified
AIChE Journal,4.4,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",1,AIChE Journal,aiche journal,aiche journal,exact_string,https://www.ablesci.com/journal/detail?id=R52OqD,filled_verified
Applied Surface Science,6.6,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",1,Applied Surface Science,applied surface science,applied surface science,exact_string,https://www.ablesci.com/journal/detail?id=XDZOOr,filled_verified
Catalysts Catalysts,4.5,2025,mdpi_2025,,,Used publisher page because AbleSci search was not recoverable for this title in the current session.,1,Catalysts,catalysts catalysts,catalysts,alias_or_suffix_variant,https://www.mdpi.com/journal/catalysts/imprint,filled_verified
ChemCatChem,3.9,2025,ablesci_2025-06-18,,,AbleSci page surfaced 2025 latest IF in search snippet.,1,ChemCatChem,chemcatchem,chemcatchem,exact_string,https://www.ablesci.com/journal/detail?id=W5O3Q5,filled_verified
Chemical Engineering Journal,12.5,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",1,Chemical Engineering Journal,chemical engineering journal,chemical engineering journal,exact_string,https://www.ablesci.com/journal/detail?id=w5g8JD,filled_verified
Chemical Science,8.1,2026,ablesci_2026-06-17,,,Chemical Science row verified from AbleSci search results page.,1,Chemical Science,chemical science,chemical science,exact_string,https://www.ablesci.com/journal/index?keywords=Chemical+Science&order=if_desc,filled_verified
Chemical Science Chem. Sci.,8.1,2026,ablesci_2026-06-17,,,Chemical Science row verified from AbleSci search results page.,1,Chemical Science,chemical science chem sci,chemical science,alias_or_suffix_variant,https://www.ablesci.com/journal/index?keywords=Chemical+Science&order=if_desc,filled_verified
Electrochemical Energy Reviews,36.3,2025,ablesci_2025-06-18,,,AbleSci page surfaced 2025 latest IF in search snippet.,1,Electrochemical Energy Reviews,electrochemical energy reviews,electrochemical energy reviews,exact_string,https://www.ablesci.com/journal/detail?id=peVyx5,filled_verified
